,X,Y,Z,obj_name
0,-1.3143,15.0686,-1.6458,FinalBaseMesh.obj
1,-1.4575,15.1137,-1.5916,FinalBaseMesh.obj
2,-1.3688,15.2156,-1.6669,FinalBaseMesh.obj
3,-1.2726,15.1795,-1.6948,FinalBaseMesh.obj
4,-1.3174,15.2749,-1.7054,FinalBaseMesh.obj
5,-1.2444,15.2717,-1.7287,FinalBaseMesh.obj
6,-1.4216,15.2928,-1.6688,FinalBaseMesh.obj
7,-1.3357,15.3383,-1.7143,FinalBaseMesh.obj
8,-1.4552,15.3808,-1.681,FinalBaseMesh.obj
9,-1.3563,15.4239,-1.7266,FinalBaseMesh.obj
10,-1.4795,15.4726,-1.6963,FinalBaseMesh.obj
11,-1.3765,15.5177,-1.7395,FinalBaseMesh.obj
12,-1.243,15.361,-1.7484,FinalBaseMesh.obj
13,-1.2527,15.4569,-1.7631,FinalBaseMesh.obj
14,-1.1413,15.4855,-1.7934,FinalBaseMesh.obj
15,-1.2678,15.5576,-1.7749,FinalBaseMesh.obj
16,-1.1531,15.5951,-1.804,FinalBaseMesh.obj
17,-1.2865,15.6606,-1.7833,FinalBaseMesh.obj
18,-1.1706,15.7067,-1.8097,FinalBaseMesh.obj
19,-1.3089,15.7632,-1.7869,FinalBaseMesh.obj
20,-1.1937,15.8188,-1.8093,FinalBaseMesh.obj
21,-1.3359,15.8628,-1.7841,FinalBaseMesh.obj
22,-1.2229,15.9295,-1.8015,FinalBaseMesh.obj
23,-1.073,15.8763,-1.8264,FinalBaseMesh.obj
24,-1.0497,15.7536,-1.8306,FinalBaseMesh.obj
25,-1.1032,15.9986,-1.8132,FinalBaseMesh.obj
26,-1.4398,15.7992,-1.7614,FinalBaseMesh.obj
27,-1.4683,15.8806,-1.7558,FinalBaseMesh.obj
28,-1.3694,15.9569,-1.7735,FinalBaseMesh.obj
29,-1.417,15.7091,-1.759,FinalBaseMesh.obj
30,-1.2595,16.0366,-1.7852,FinalBaseMesh.obj
31,-1.3964,15.614,-1.7509,FinalBaseMesh.obj
32,-1.4989,15.5654,-1.7114,FinalBaseMesh.obj
33,-1.5151,15.6564,-1.7244,FinalBaseMesh.obj
34,-1.0328,15.6323,-1.8275,FinalBaseMesh.obj
35,-1.0225,15.513,-1.8183,FinalBaseMesh.obj
36,-0.896,15.4126,-1.8217,FinalBaseMesh.obj
37,-1.0193,15.3957,-1.804,FinalBaseMesh.obj
38,-0.899,15.5393,-1.8359,FinalBaseMesh.obj
39,-1.1364,15.3785,-1.7784,FinalBaseMesh.obj
40,-1.024,15.2784,-1.7837,FinalBaseMesh.obj
41,-1.1414,15.2729,-1.7575,FinalBaseMesh.obj
42,-0.9002,15.2863,-1.8014,FinalBaseMesh.obj
43,-0.9088,15.668,-1.8447,FinalBaseMesh.obj
44,-0.7844,15.6998,-1.8514,FinalBaseMesh.obj
45,-0.7755,15.5626,-1.8415,FinalBaseMesh.obj
46,-0.7727,15.428,-1.8264,FinalBaseMesh.obj
47,-1.1592,15.1638,-1.7283,FinalBaseMesh.obj
48,-1.054,15.0343,-1.723,FinalBaseMesh.obj
49,-1.1837,15.0454,-1.6907,FinalBaseMesh.obj
50,-1.0367,15.1587,-1.7567,FinalBaseMesh.obj
51,-0.9252,15.0296,-1.7427,FinalBaseMesh.obj
52,-0.9107,15.159,-1.7749,FinalBaseMesh.obj
53,-1.2035,14.9172,-1.6481,FinalBaseMesh.obj
54,-1.3371,14.9358,-1.5973,FinalBaseMesh.obj
55,-1.0713,14.905,-1.6837,FinalBaseMesh.obj
56,-1.5797,15.4257,-1.6452,FinalBaseMesh.obj
57,-1.555,15.3324,-1.6248,FinalBaseMesh.obj
58,-1.5186,15.2338,-1.6058,FinalBaseMesh.obj
59,-1.6538,15.2911,-1.56,FinalBaseMesh.obj
60,-1.628,15.1946,-1.5313,FinalBaseMesh.obj
61,-1.7451,15.2602,-1.4911,FinalBaseMesh.obj
62,-1.7275,15.17,-1.4546,FinalBaseMesh.obj
63,-1.814,15.1597,-1.3777,FinalBaseMesh.obj
64,-1.8251,15.242,-1.4221,FinalBaseMesh.obj
65,-1.8856,15.1656,-1.3023,FinalBaseMesh.obj
66,-1.8912,15.2402,-1.357,FinalBaseMesh.obj
67,-1.8796,15.0843,-1.2453,FinalBaseMesh.obj
68,-1.9421,15.1078,-1.1611,FinalBaseMesh.obj
69,-1.9435,15.1866,-1.2302,FinalBaseMesh.obj
70,-1.8036,15.0718,-1.3294,FinalBaseMesh.obj
71,-1.944,15.2571,-1.2981,FinalBaseMesh.obj
72,-1.8359,15.3189,-1.4595,FinalBaseMesh.obj
73,-1.7619,15.3472,-1.5228,FinalBaseMesh.obj
74,-1.8934,15.3076,-1.4046,FinalBaseMesh.obj
75,-1.7116,15.0727,-1.4138,FinalBaseMesh.obj
76,-1.7036,14.9666,-1.3677,FinalBaseMesh.obj
77,-1.7966,14.9764,-1.2794,FinalBaseMesh.obj
78,-1.6007,15.0864,-1.4988,FinalBaseMesh.obj
79,-1.5944,14.9631,-1.4526,FinalBaseMesh.obj
80,-1.6749,15.3832,-1.5864,FinalBaseMesh.obj
81,-1.6902,15.4767,-1.6107,FinalBaseMesh.obj
82,-1.5964,15.5187,-1.665,FinalBaseMesh.obj
83,-1.7781,15.437,-1.5482,FinalBaseMesh.obj
84,-1.6956,15.5766,-1.6348,FinalBaseMesh.obj
85,-1.6059,15.6112,-1.684,FinalBaseMesh.obj
86,-1.7966,15.5458,-1.5685,FinalBaseMesh.obj
87,-1.4689,14.9588,-1.5327,FinalBaseMesh.obj
88,-1.4772,14.8209,-1.4829,FinalBaseMesh.obj
89,-1.5948,14.8368,-1.4049,FinalBaseMesh.obj
90,-1.4849,14.6872,-1.4367,FinalBaseMesh.obj
91,-1.5979,14.7089,-1.3566,FinalBaseMesh.obj
92,-1.3611,14.6682,-1.5018,FinalBaseMesh.obj
93,-1.3685,14.535,-1.4502,FinalBaseMesh.obj
94,-1.4905,14.5552,-1.3867,FinalBaseMesh.obj
95,-1.3514,14.8015,-1.5508,FinalBaseMesh.obj
96,-1.2311,14.652,-1.554,FinalBaseMesh.obj
97,-1.2188,14.7852,-1.6023,FinalBaseMesh.obj
98,-1.1008,14.6392,-1.5922,FinalBaseMesh.obj
99,-1.0871,14.7727,-1.6404,FinalBaseMesh.obj
100,-1.2406,14.5183,-1.5012,FinalBaseMesh.obj
101,-1.1122,14.5056,-1.5366,FinalBaseMesh.obj
102,-0.9956,14.3625,-1.4945,FinalBaseMesh.obj
103,-1.1207,14.3718,-1.4752,FinalBaseMesh.obj
104,-0.9853,14.4967,-1.5565,FinalBaseMesh.obj
105,-0.8733,14.3568,-1.5002,FinalBaseMesh.obj
106,-0.8617,14.491,-1.5623,FinalBaseMesh.obj
107,-0.9724,14.6306,-1.6123,FinalBaseMesh.obj
108,-0.8477,14.6254,-1.618,FinalBaseMesh.obj
109,-1.247,14.3848,-1.4414,FinalBaseMesh.obj
110,-1.1262,14.2366,-1.4092,FinalBaseMesh.obj
111,-1.2503,14.2496,-1.377,FinalBaseMesh.obj
112,-1.0029,14.2275,-1.4278,FinalBaseMesh.obj
113,-1.3724,14.4017,-1.3929,FinalBaseMesh.obj
114,-1.373,14.2669,-1.3309,FinalBaseMesh.obj
115,-1.4912,14.2888,-1.2695,FinalBaseMesh.obj
116,-1.4924,14.423,-1.3298,FinalBaseMesh.obj
117,-1.6009,14.5806,-1.3052,FinalBaseMesh.obj
118,-1.6024,14.4485,-1.2534,FinalBaseMesh.obj
119,-1.5994,14.3153,-1.1942,FinalBaseMesh.obj
120,-1.3706,14.1289,-1.2661,FinalBaseMesh.obj
121,-1.4851,14.1517,-1.206,FinalBaseMesh.obj
122,-1.2508,14.1114,-1.3114,FinalBaseMesh.obj
123,-0.9414,14.8978,-1.7051,FinalBaseMesh.obj
124,-0.9574,14.7644,-1.6622,FinalBaseMesh.obj
125,-0.8318,14.7599,-1.668,FinalBaseMesh.obj
126,-0.7117,14.7584,-1.6607,FinalBaseMesh.obj
127,-0.8152,14.8943,-1.712,FinalBaseMesh.obj
128,-0.6947,14.8938,-1.7051,FinalBaseMesh.obj
129,-0.7994,15.0285,-1.7487,FinalBaseMesh.obj
130,-0.6783,15.0297,-1.7434,FinalBaseMesh.obj
131,-0.6148,14.6243,-1.5925,FinalBaseMesh.obj
132,-0.7281,14.6234,-1.6105,FinalBaseMesh.obj
133,-0.5984,14.7597,-1.6427,FinalBaseMesh.obj
134,-0.5813,14.8957,-1.6877,FinalBaseMesh.obj
135,-1.7006,14.6064,-1.2194,FinalBaseMesh.obj
136,-1.7003,14.7319,-1.2707,FinalBaseMesh.obj
137,-1.7001,14.4776,-1.1655,FinalBaseMesh.obj
138,-1.785,14.5081,-1.0724,FinalBaseMesh.obj
139,-1.7883,14.6355,-1.127,FinalBaseMesh.obj
